// ЗАЙМЕННИКИ ТА ЛЮДИ (Pronouns & People)
I;я
ready;готовий
tired;втомлений
hungry;голодний
thirsty;спраглий
sick;хворий
nice;милий / приємний
kind;добрий
angry;злий
funny;смішний
important;важливий
possible;можливий
real;справжній
true;правдивий
false;неправдивий
free;вільний / безкоштовний
open;відкритий
closed;закритий
busy;зайнятий
late;пізній
early;ранній
special;спеціальний
fine;чудовий / в порядку
wrong;неправильний

// КОЛЬОРИ (Colors)
black;чорний
white;білий
red;червоний
blue;синій
green;зелений
yellow;жовтий
orange;помаранчевий
brown;коричневий
pink;рожевий
grey;сірий
purple;фіолетовий
color;колір
light;світлий
dark;темний

// ЧИСЛА (Numbers)
one;один
two;два
three;три
four;чотири
five;п'ять
six;шість
seven;сім
eight;вісім
nine;дев'ять
ten;десять
eleven;одинадцять
twelve;дванадцять
thirteen;тринадцять
fourteen;чотирнадцять
fifteen;п'ятнадцять
sixteen;шістнадцять
seventeen;сімнадцять
eighteen;вісімнадцять
nineteen;дев'ятнадцять
twenty;двадцять
thirty;тридцять
forty;сорок
fifty;п'ятдесят
sixty;шістдесят
seventy;сімдесят
eighty;вісімдесят
ninety;дев'яносто
hundred;сто
thousand;тисяча
million;мільйон
first;перший
second;другий
third;третій
number;номер / число

// ЧАС (Time)
time;час
day;день
night;ніч
morning;ранок
afternoon;день (після обіду)
evening;вечір
today;сьогодні
tomorrow;завтра
yesterday;вчора
week;тиждень
month;місяць
year;рік
hour;година
minute;хвилина
second;секунда
now;зараз
never;ніколи
always;завжди
often;часто
sometimes;іноді
usually;зазвичай
later;пізніше
soon;скоро
monday;понеділок
tuesday;вівторок
wednesday;середа
thursday;четвер
friday;п'ятниця
saturday;субота
sunday;неділя
weekend;вихідні

// ЇЖА ТА НАПОЇ (Food & Drink)
food;їжа
water;вода
bread;хліб
milk;молоко
tea;чай
coffee;кава
apple;яблуко
banana;банан
orange;апельсин
fruit;фрукт
vegetable;овоч
meat;м'ясо
fish;риба
egg;яйце
sugar;цукор
salt;сіль
cheese;сир
chicken;курка
breakfast;сніданок
lunch;обід
dinner;вечеря
meal;прийом їжі
drink;напій
juice;сік
cake;торт
chocolate;шоколад
sandwich;сендвіч
restaurant;ресторан
cafe;кафе
menu;меню

// ДІМ ТА РЕЧІ (Home & Objects)
house;будинок
home;дім
apartment;квартира
room;кімната
kitchen;кухня
bathroom;ванна кімната
bedroom;спальня
living room;вітальня
door;двері
window;вікно
floor;підлога
wall;стіна
table;стіл
chair;стілець
bed;ліжко
bag;сумка
box;коробка
key;ключ
phone;телефон
computer;комп'ютер
picture;картина / фото
paper;папір
pen;ручка
book;книга
cup;чашка
glass;склянка
plate;тарілка
knife;ніж
fork;виделка
spoon;ложка
clock;годинник
television;телевізор
radio;радіо
light;світло
thing;річ

// МІСТО ТА ТРАНСПОРТ (City & Transport)
city;місто
street;вулиця
road;дорога
park;парк
school;школа
shop;магазин
hospital;лікарня
bank;банк
hotel;готель
car;машина
bus;автобус
train;потяг
plane;літак
taxi;таксі
bike;велосипед
ticket;квиток
station;станція
airport;аеропорт
map;карта
world;світ
country;країна

// ТІЛО ТА ОДЯГ (Body & Clothes)
body;тіло
head;голова
face;обличчя
eye;око
ear;вухо
nose;ніс
mouth;рот
hand;рука (кисть)
arm;рука
leg;нога
foot;стопа
hair;волосся
clothes;одяг
shirt;сорочка
t-shirt;футболка
pants;штани
dress;сукня
skirt;спідниця
shoe;черевик
coat;пальто
hat;капелюх
glasses;окуляри
watch;годинник (наручний)

// ПРИРОДА ТА ТВАРИНИ (Nature & Animals)
animal;тварина
dog;собака
cat;кіт
bird;птах
fish;риба
horse;кінь
cow;корова
pig;свиня
tree;дерево
flower;квітка
sun;сонце
moon;місяць
star;зірка
sky;небо
rain;дощ
snow;сніг
wind;вітер
sea;море
river;річка
fire;вогонь
water;вода

// СЛУЖБОВІ СЛОВА (Function Words)
and;і
but;але
or;або
because;тому що
if;якщо
so;тому / так
not;не
no;ні
yes;так
please;будь ласка
thanks;дякую
hello;привіт
goodbye;до побачення
sorry;вибачте
excuse me;перепрошую
here;тут
there;там
where;де
what;що
who;хто
when;коли
why;чому
how;як
in;в
on;на
at;в / на (про час/місце)
to;до
from;з
with;з
without;без
for;для
of;з (кого/чого)
about;про
under;під
up;вгору
down;вниз
very;дуже
too;також / занадто
really;дійсно
maybe;можливо
ok;гаразд
