// ДІЄСЛОВА (Verbs) - Дії та процеси
accept;приймати
press;натискати
promise;обіцяти
protect;захищати
prove;доводити
pull;тягнути
push;штовхати
put;класти
quit;кидати (звичку, роботу)
reach;досягати / дотягуватися
read;читати
receive;отримувати
refuse;відмовлятися
relax;розслаблятися
remember;пам'ятати
repair;ремонтувати
repeat;повторювати
replace;замінювати
reply;відповідати
report;звітувати / повідомляти
rest;відпочивати
return;повертатися
ride;їздити верхи / на велосипеді
ring;дзвонити
rise;підніматися
run;бігти
save;рятувати / економити
say;казати
search;шукати
sell;продавати
send;надсилати
serve;обслуговувати
share;ділитися
shout;кричати
show;показувати
sign;підписувати
sing;співати
sit;сидіти
sleep;спати
smile;посміхатися
smoke;курити
solve;вирішувати (проблему)
speak;говорити
spend;витрачати (гроші/час)
stand;стояти
steal;красти
stop;зупинятися
study;вивчати
succeed;досягати успіху
suggest;пропонувати (ідею)
support;підтримувати
surprise;дивувати
swim;плавати
take;брати
talk;розмовляти
teach;вчити (когось)
tell;розповідати
think;думати
throw;кидати
touch;торкатися
travel;подорожувати
try;намагатися / пробувати
turn;повертати
understand;розуміти
use;використовувати
visit;відвідувати
wait;чекати
wake;прокидатися
walk;гуляти / йти пішки
want;хотіти
warn;попереджати
wash;мити
watch;дивитися / спостерігати
wear;носити (одяг)
win;перемагати
wish;бажати
wonder;цікавитися / дивуватися
work;працювати
worry;хвилюватися
write;писати

// ПРИКМЕТНИКИ (Adjectives) - Опис
able;здібний / спроможний
active;активний
afraid;наляканий
alone;самотній / один
angry;злий
available;доступний
awful;жахливий
basic;базовий
beautiful;красивий
boring;нудний
brave;сміливий
bright;яскравий
busy;зайнятий
calm;спокійний
careful;обережний
cheap;дешевий
clean;чистий
clever;розумний
cloudy;хмарний
comfortable;зручний
common;спільний / поширений
confident;впевнений
cool;прохолодний / крутий
correct;правильний
crazy;божевільний
crowded;переповнений людьми
curious;допитливий
dangerous;небезпечний
dark;темний
dead;мертвий
deep;глибокий
delicious;дуже смачний
different;інший / різний
difficult;складний
dirty;брудний
dry;сухий
early;ранній
easy;легкий
empty;порожній
excellent;відмінний
exciting;захоплюючий
expensive;дорогий
famous;відомий
fast;швидкий
fat;товстий
favorite;улюблений
fit;у хорошій формі
foreign;іноземний
free;вільний / безкоштовний
fresh;свіжий
friendly;дружній
full;повний
funny;смішний
glad;радий
good;хороший
great;чудовий
guilty;винний
happy;щасливий
hard;твердий / важкий
healthy;здоровий
heavy;важкий (за вагою)
high;високий
hot;гарячий
huge;величезний
hungry;голодний
ill;хворий
important;важливий
impossible;неможливий
intelligent;інтелектуальний
interesting;цікавий
kind;добрий
large;великий
late;пізній
lazy;лінивий
light;світлий / легкий
lonely;самотній
loud;гучний
lucky;удачливий
mad;шалений
main;головний
married;одружений
modern;сучасний
narrow;вузький
natural;природний
nervous;знервований
nice;милий / приємний
noisy;шумний
normal;нормальний
old;старий
open;відкритий
perfect;ідеальний
pleasant;приємний
polite;ввічливий
poor;бідний
popular;популярний
possible;можливий
pretty;гарний
private;приватний
proud;гордий
quick;швидкий
quiet;тихий
ready;готовий
real;справжній
rich;багатий
right;правий / правильний
rude;грубий
sad;сумний
safe;безпечний
same;такий самий
scared;наляканий
serious;серйозний
sharp;гострий
short;короткий / низький
shy;сором'язливий
sick;хворий
silent;мовчазний
simple;простий
single;одинокий / неодружений
slow;повільний
small;маленький
soft;м'який
sorry;шкодуючий
special;спеціальний / особливий
strange;дивний
strong;сильний
stupid;дурний
successful;успішний
sure;впевнений
sweet;солодкий
tall;високий (про зріст)
terrible;жахливий
thick;товстий (про предмет)
thin;худий / тонкий
thirsty;спраглий
tired;втомлений
true;правдивий
ugly;потворний
unhappy;нещасний
useful;корисний
usual;звичайний
warm;теплий
weak;слабкий
wet;мокрий
wide;широкий
wild;дикий
wonderful;чудовий
worried;стурбований
wrong;неправильний
young;молодий


// ЛЮДИ ТА СІМ'Я (People & Family)
adult;дорослий
aunt;тітка
baby;немовля
boy;хлопчик
brother;брат
child;дитина
colleague;колега
cousin;кузен / кузина
customer;клієнт
daughter;дочка
father;батько
friend;друг
girl;дівчинка
granddaughter;онука
grandfather;дідусь
grandmother;бабуся
grandson;онук
guest;гість
guy;хлопець (розм.)
husband;чоловік (у шлюбі)
kid;дитина (розм.)
lady;леді / пані
man;чоловік
manager;менеджер / керівник
member;учасник / член (групи)
mother;мати
neighbor;сусід
parent;хтось із батьків
partner;партнер
person;людина
player;гравець
secretary;секретар
sister;сестра
son;син
staff;персонал
student;студент
teacher;вчитель
team;команда
teenager;підліток
tourist;турист
uncle;дядько
visitor;відвідувач
wife;дружина
woman;жінка
worker;робітник

// ТІЛО ТА ЗДОРОВ'Я (Body & Health)
accident;нещасний випадок
arm;рука (від плеча до кисті)
back;спина
blood;кров
body;тіло
brain;мозок
ear;вухо
eye;око
face;обличчя
finger;палець (на руці)
foot;стопа
hair;волосся
hand;рука (кисть)
head;голова
health;здоров'я
heart;серце
hospital;лікарня
leg;нога
medicine;ліки
mouth;рот
neck;шия
nose;ніс
pain;біль
problem;проблема
shoulder;плече
skin;шкіра
stomach;шлунок / живіт
tooth;зуб
voice;голос

// ДІМ ТА ПОБУТ (Home & Daily Life)
address;адреса
apartment;квартира
bag;сумка
bath;ванна
bed;ліжко
bedroom;спальня
blanket;ковдра
box;коробка
camera;камера
card;картка / листівка
carpet;килим
ceiling;стеля
chair;стілець
clock;годинник (настінний)
computer;комп'ютер
cupboard;шафа (для посуду)
desk;письмовий стіл
door;двері
floor;підлога / поверх
fridge;холодильник
furniture;меблі
garage;гараж
garden;сад
gate;ворота
gift;подарунок
glass;скло
hall;коридор / хол
house;будинок
key;ключ
kitchen;кухня
lamp;лампа
letter;лист / літера
light;світло
living room;вітальня
mirror;дзеркало
mobile phone;мобільний телефон
money;гроші
paper;папір
pen;ручка
pencil;олівець
phone;телефон
picture;картина / фото
pillow;подушка
plate;тарілка
radio;радіо
roof;дах
room;кімната
screen;екран
shelf;полиця
shower;душ
soap;мило
sofa;диван
stairs;сходи
table;стіл
television;телебачення
thing;річ
toilet;туалет
tool;інструмент
towel;рушник
toy;іграшка
wall;стіна
watch;годинник (наручний)
window;вікно

// ОДЯГ (Clothes)
belt;ремінь
boot;черевик
cap;кепка
clothes;одяг
coat;пальто
dress;сукня
fashion;мода
glove;рукавиця
hat;капелюх
jacket;куртка / піджак
jeans;джинси
pocket;кишеня
ring;кільце
shirt;сорочка
shoe;взуття
skirt;спідниця
sock;шкарпетка
suit;костюм
sunglasses;сонячні окуляри
sweater;светр
t-shirt;футболка
tie;краватка
trousers;штани
umbrella;парасолька
uniform;уніформа
wallet;гаманець

// ЇЖА ТА НАПОЇ (Food & Drinks)
apple;яблуко
banana;банан
biscuit;печиво
bottle;пляшка
bread;хліб
breakfast;сніданок
butter;вершкове масло
cake;торт / тістечко
candy;цукерка
cheese;сир
chicken;курка
chocolate;шоколад
coffee;кава
cream;вершки / крем
cup;чашка
dinner;вечеря
dish;страва
drink;напій
egg;яйце
fish;риба
food;їжа
fork;виделка
fruit;фрукт
glass;склянка
grape;виноград
ice;лід
ice cream;морозиво
juice;сік
knife;ніж
lemon;лимон
lunch;обід
meal;прийом їжі
meat;м'ясо
menu;меню
milk;молоко
oil;олія
onion;цибуля
orange;апельсин
pepper;перець
pizza;піца
potato;картопля
rice;рис
salad;салат
salt;сіль
sandwich;сендвіч
soup;суп
spoon;ложка
steak;стейк
sugar;цукор
tea;чай
tomato;помідор
vegetable;овоч
water;вода

// МІСТО ТА ТРАНСПОРТ (City & Transport)
airport;аеропорт
ambulance;швидка допомога
bank;банк
bicycle;велосипед
bike;велосипед / мотоцикл
boat;човен
bridge;міст
bus;автобус
car;автомобіль
castle;замок
center;центр
church;церква
city;місто (велике)
corner;кут
country;країна
driver;водій
engine;двигун
factory;завод
farm;ферма
flight;рейс / політ
hotel;готель
library;бібліотека
machine;машина / механізм
map;карта
market;ринок
motorcycle;мотоцикл
museum;музей
park;парк
passenger;пасажир
passport;паспорт
path;стежка
petrol;бензин
plane;літак
police;поліція
post office;пошта
railway;залізниця
road;дорога
ship;корабель
shop;магазин
sign;знак
square;площа
station;станція / вокзал
street;вулиця
supermarket;супермаркет
taxi;таксі
theater;театр
ticket;квиток
town;місто (невелике)
traffic;дорожній рух
train;потяг
trip;поїздка
university;університет
village;село
way;шлях / спосіб
wheel;колесо
zoo;зоопарк

// ЧАС ТА ПРИРОДА (Time & Nature)
afternoon;день (після полудня)
air;повітря
animal;тварина
autumn;осінь
beach;пляж
bird;птах
birthday;день народження
cat;кіт
cloud;хмара
cow;корова
date;дата
day;день
dog;собака
earth;земля
east;схід
evening;вечір
fire;вогонь
flower;квітка
forest;ліс
grass;трава
hill;пагорб
horse;кінь
hour;година
island;острів
lake;озеро
minute;хвилина
month;місяць (календарний)
moon;місяць (світило)
morning;ранок
mountain;гора
nature;природа
night;ніч
north;північ
ocean;океан
plant;рослина
rain;дощ
river;річка
sea;море
season;пора року
second;секунда
sky;небо
snow;сніг
south;південь
space;космос / простір
spring;весна
star;зірка
stone;камінь
summer;літо
sun;сонце
time;час
tree;дерево
weather;погода
week;тиждень
weekend;вихідні
west;захід
wind;вітер
winter;зима
world;світ
year;рік

// ПРИСЛІВНИКИ ТА ПРИЙМЕННИКИ (Adverbs & Prepositions)
about;про / близько
above;над
across;через
after;після
again;знову
ago;тому (про час)
almost;майже
already;вже
also;також
always;завжди
around;навколо
away;геть / далеко
before;до / перед
behind;позаду
below;нижче
between;між
both;обидва
down;вниз
during;під час
early;рано
enough;достатньо
ever;коли-небудь
everywhere;всюди
far;далеко
here;тут
how;як
inside;всередині
instead;замість
into;в (всередину)
just;просто / щойно
maybe;можливо
near;близько
never;ніколи
next;наступний
now;зараз
often;часто
once;одного разу
only;тільки
out;зовні / геть
outside;надворі
over;над / понад
perhaps;мабуть
probably;ймовірно
quite;цілком / досить
rarely;рідко
really;дійсно
recently;нещодавно
since;з (якогось часу)
so;так / отже
sometimes;іноді
soon;скоро
still;все ще
suddenly;раптово
then;тоді / потім
there;там
through;крізь
together;разом
too;занадто / також
under;під
until;до (якогось часу)
up;вгору
usually;зазвичай
very;дуже
well;добре
when;коли
where;де
while;поки
why;чому
with;з
without;без
yet;ще (в запереченнях)

// ОСВІТА ТА РОБОТА (Education & Work)
art;мистецтво
bell;дзвінок
blackboard;класна дошка
boss;бос / начальник
break;перерва
career;кар'єра
class;клас / урок
classroom;класна кімната
college;коледж
company;компанія
course;курс
degree;науковий ступінь / градус
desk;парта / робочий стіл
diary;щоденник
dictionary;словник
diploma;диплом
exam;іспит
exercise;вправа
geography;географія
history;історія
homework;домашнє завдання
information;інформація
internet;інтернет
job;робота (посада)
keyboard;клавіатура
language;мова
laptop;ноутбук
lesson;урок
level;рівень
library;бібліотека
line;лінія / черга
mark;оцінка / позначка
meeting;зустріч / нарада
message;повідомлення
mouse;мишка (комп'ютерна)
news;новини
note;нотатка / записка
notebook;зошит / записник
office;офіс
page;сторінка
paint;фарба
paper;папір / газета
part;частина
pen;ручка
pencil;олівець
physics;фізика
practice;практика
printer;принтер
profession;професія
program;програма
project;проект
question;питання
result;результат
rubber;гумка (ластик)
ruler;лінійка
rule;правило
salary;зарплата
school;школа
science;наука
screen;екран
sentence;речення
skill;навичка
subject;предмет (шкільний) / тема
test;тест
text;текст
uniform;форма
website;веб-сайт
word;слово
work;робота (процес)

// АБСТРАКТНІ ПОНЯТТЯ (Abstract Concepts)
advice;порада
age;вік
answer;відповідь
beginning;початок
business;бізнес / справа
change;зміна / решта (гроші)
choice;вибір
cost;вартість
danger;небезпека
detail;деталь
difference;різниця
dream;мрія / сон
end;кінець
energy;енергія
error;помилка
event;подія
example;приклад
fact;факт
fear;страх
feeling;почуття
fun;веселощі
future;майбутнє
game;гра
goal;мета / гол
group;група
help;допомога
hobby;хобі
hope;надія
idea;ідея
joke;жарт
kind;вид / тип
life;життя
list;список
love;любов
luck;удача
memory;пам'ять
mind;розум / думка
mistake;помилка
music;музика
name;ім'я
noise;шум
number;число / номер
opinion;думка (погляд)
order;порядок / наказ
past;минуле
peace;мир / спокій
photo;фотографія
place;місце
plan;план
power;сила / влада
price;ціна
problem;проблема
reason;причина
rest;відпочинок / решта
secret;секрет
service;сервіс / служба
shape;форма
side;сторона
size;розмір
song;пісня
sort;сорт / вид
sound;звук
space;простір / космос
speed;швидкість
sport;спорт
story;історія (розповідь)
style;стиль
success;успіх
surprise;сюрприз
system;система
task;завдання
thing;річ
thought;думка
top;вершина / топ
traffic;дорожній рух
trip;подорож
trouble;біда / неприємність
truth;правда
type;тип
view;вид (з вікна) / погляд
voice;голос
war;війна
way;шлях / спосіб
wedding;весілля
wish;бажання
world;світ

// МАТЕРІАЛИ, ФОРМИ ТА КОЛЬОРИ (Materials, Shapes & Colors)
circle;коло
cotton;бавовна
gas;газ
gold;золото
grey;сірий
leather;шкіра (матеріал)
metal;метал
pink;рожевий
plastic;пластик
purple;фіолетовий
round;круглий
silver;срібло
square;квадрат / квадратний
stone;камінь
straight;прямий
triangle;трикутник
wood;дерево (матеріал)
wool;вовна

// ФРАЗОВІ ДІЄСЛОВА (Phrasal Verbs) - Важливо для A2!
ask for;просити (щось)
be over;закінчитися
break down;зламатися
bring up;виховувати
call back;передзвонити
carry on;продовжувати
check in;реєструватися (в готелі/аеропорту)
check out;виселятися / перевірити
clean up;прибирати
come back;повертатися
come in;заходити
come on;давай! / швидше!
fill in;заповнювати (форму)
find out;з'ясувати / дізнатися
get back;повернутися
get off;виходити (з транспорту)
get on;сідати (у транспорт)
get up;вставати (з ліжка)
give back;віддавати
give up;здаватися / кидати (звичку)
go out;виходити (гуляти)
grow up;рости / дорослішати
look after;доглядати (за кимось)
look at;дивитися на
look for;шукати
look forward to;з нетерпінням чекати
pick up;піднімати / заїхати за кимось
put on;одягати
sit down;сідати
stand up;вставати
take off;знімати (одяг) / злітати (літак)
throw away;викидати
try on;міряти (одяг)
turn down;зменшити (гучність) / відхилити
turn off;вимикати
turn on;вмикати
wake up;прокидатися
write down;записувати

// ДОДАТКОВІ ДІЄСЛОВА (More Verbs)
act;діяти / грати роль
beat;бити / перемагати
bite;кусати
blow;дути
borrow;позичати (у когось)
brush;чистити щіткою
burn;горіти
camp;жити в наметі
care;турбуватися
chat;спілкуватися / базікати
clap;плескати в долоні
comb;розчісувати
contact;контактувати
copy;копіювати
crash;розбитися / зіткнутися
create;створювати
cross;перетинати
damage;пошкоджувати
deal;мати справу
deliver;доставляти
depend;залежати
describe;описувати
design;проектувати / дизайнувати
destroy;руйнувати
dig;копати
disappear;зникати
dive;пірнати
draw;малювати (олівцем)
dream;мріяти
dress;одягатися
drive;водити машину
drop;впускати
dry;сушити
earn;заробляти
empty;спорожняти
enter;входити
exchange;обмінюватися
exist;існувати
experience;переживати (досвід)
explore;досліджувати
express;виражати
fail;зазнати невдачі
fall;падати
feed;годувати
fight;битися
film;знімати фільм
fish;рибалити
fit;пасувати (за розміром)
fix;лагодити
float;плавати (на поверхні)
fold;складати (папір, одяг)
form;формувати
fry;смажити
greet;вітатися
guess;вгадувати
guide;вести / бути гідом
hang;висіти / вішати
hate;ненавидіти
heat;нагрівати
hide;ховати
hit;вдаряти
hold;тримати
hug;обіймати
hunt;полювати
hurry;поспішати
imagine;уявляти
improve;покращувати
include;включати
inform;інформувати
invite;запрошувати
iron;прасувати
join;приєднуватися
joke;жартувати
jump;стрибати
kick;бити ногою
kiss;цілувати
knock;стукати
land;приземлятися
last;тривати
laugh;сміятися
lead;вести (бути лідером)
lend;позичати (комусь)
lie;брехати / лежати
lift;піднімати
lock;замикати
manage;керувати / справлятися
marry;одружуватися
match;пасувати (до пари)
matter;мати значення
melt;танути
mind;заперечувати (Do you mind?)
miss;сумувати / пропускати
mix;змішувати
move;рухатися
name;називати
notice;помічати
offer;пропонувати
pack;пакувати
park;паркуватися
pass;проходити / здавати (екзамен)
perform;виступати
pick;вибирати
plant;саджати
point;вказувати
post;відправляти поштою
pour;наливати
pray;молитися
prepare;готувати
press;натискати
print;друкувати
produce;виробляти
promise;обіцяти
protect;захищати
provide;забезпечувати
pull;тягнути
push;штовхати
race;змагатися у швидкості
rain;дощити
raise;піднімати (руку, ціну)
reach;досягати
realize;усвідомлювати
record;записувати (аудио/відео)
recycle;переробляти
refuse;відмовлятися
regret;шкодувати
relax;розслаблятися
repair;ремонтувати
repeat;повторювати
replace;замінювати
rescue;рятувати
reserve;бронювати
respect;поважати
return;повертатися
ring;дзвонити
rob;грабувати
roll;котитися
save;рятувати / зберігати
score;забивати (гол) / набирати бали
scream;кричати
search;шукати
serve;обслуговувати
shake;трусити
share;ділитися
shout;кричати
sign;підписувати
skate;кататися на ковзанах
ski;кататися на лижах
smell;нюхати / пахнути
smile;посміхатися
smoke;курити
sneeze;чхати
snow;сніжити
solve;вирішувати
spell;вимовляти по буквах
spend;витрачати
spill;розливати
spoil;псувати
steal;красти
stick;приклеювати
support;підтримувати
survive;виживати
swallow;ковтати
swim;плавати
taste;куштувати / мати смак
teach;вчити
tear;рвати
throw;кидати
touch;торкатися
train;тренуватися
translate;перекладати
travel;подорожувати
trust;довіряти
turn;повертати
use;використовувати
visit;відвідувати
vote;голосувати
wait;чекати
warn;попереджати
wash;мити
waste;марнувати
wave;махати
weigh;важити
welcome;вітати (гостей)
win;перемагати
wish;бажати
wonder;цікавитися
worry;хвилюватися

// ПРИСЛІВНИКИ СПОСОБУ ДІЇ (Adverbs of Manner) - Як?
badly;погано
carefully;обережно
clearly;чітко
correctly;правильно
easily;легко
fast;швидко
hard;тяжко / наполегливо
loudly;гучно
nicely;мило / гарно
perfectly;ідеально
politely;ввічливо
quickly;швидко
quietly;тихо
seriously;серйозно
slowly;повільно
suddenly;раптово
well;добре

// ПРИСЛІВНИКИ СТУПЕНЯ ТА ЧАСУ (Adverbs of Degree & Time)
actually;насправді
anyway;у будь-якому випадку
certainly;безумовно
completely;повністю
daily;щодня
definitely;безумовно / точно
especially;особливо
exactly;точно
finally;нарешті
immediately;негайно
luckily;на щастя
monthly;щомісяця
nearly;майже
per;за (наприклад, per hour)
possibly;можливо
probably;ймовірно
recently;нещодавно
simply;просто
terribly;жахливо
unfortunately;на жаль
weekly;щотижня
yearly;щороку

// ЗАЙМЕННИКИ (Pronouns) - Хтось, щось, ніхто
anybody;хто-небудь
anyone;хто-небудь
anything;що-небудь
anywhere;де-небудь
everybody;всі (кожен)
everyone;всі (кожен)
everything;все
everywhere;всюди
herself;вона сама (себе)
himself;він сам (себе)
itself;воно саме (себе)
myself;я сам (себе)
nobody;ніхто
no one;ніхто
nothing;ніщо
nowhere;ніде
ourselves;ми самі (себе)
somebody;хтось
someone;хтось
something;щось
somewhere;десь
themselves;вони самі (себе)
yourselves;ви самі (себе)

// СПОЛУЧНИКИ (Conjunctions) - Клей для речень
although;хоча
as;як / оскільки
as soon as;як тільки
because;тому що
but;але
if;якщо
or;або
so;тому / отже
than;ніж (у порівнянні)
that;що / той
unless;якщо не
until;доки не
while;поки / в той час як

// ОПИС ХАРАКТЕРУ ТА СТАНУ (Personality & Feelings)
active;активний
amazed;вражений
amusing;кумедний
annoyed;роздратований
anxious;тривожний
bored;знуджений
boring;нудний
brilliant;блискучий / геніальний
calm;спокійний
charming;чарівний
cheerful;життєрадісний
confident;впевнений
confused;розгублений
crazy;божевільний
cruel;жорстокий
curious;допитливий
delighted;задоволений
depressed;пригнічений
disappointed;розчарований
embarrassed;збентежений
excited;схвильований (радісно)
frightened;наляканий
generous;щедрий
gentle;ніжний
honest;чесний
intelligent;розумний
jealous;ревнивий / заздрісний
keen;зацікавлений / палкий
lazy;лінивий
miserable;нещасний
negative;негативний
nervous;знервований
patient;терплячий
positive;позитивний
relaxed;розслаблений
reliable;надійний
rude;грубий
sensible;розсудливий
sensitive;чутливий
shocked;шокований
shy;сором'язливий
silly;дурненький
smart;кмітливий
stressed;напружений
strict;суворий
surprised;здивований
talented;талановитий
upset;засмучений

// ПРИЙМЕННИКИ МІСЦЯ ТА РУХУ (Prepositions)
against;проти
along;вздовж
among;серед (багатьох)
around;навколо
at;в / на
behind;позаду
beside;поруч
by;біля / за допомогою
down;вниз
for;для
from;з
in;в
in front of;попереду
inside;всередині
into;в (всередину)
near;біля
next to;поруч з
off;з (поверхні) / геть
on;на
onto;на (поверхню)
opposite;навпроти
out of;з (назовні)
outside;зовні
over;над
past;повз
round;навколо
through;крізь
to;до
towards;у напрямку до
under;під
up;вгору
with;з

// ДОДАТКОВІ КОРИСНІ ІМЕННИКИ (Extra Nouns)
accident;аварія
bill;рахунок (до оплати)
cash;готівка
credit card;кредитна картка
crowd;натовп
damage;шкода / пошкодження
delay;затримка
discount;знижка
document;документ
entrance;вхід
exit;вихід
form;форма (бланк)
gas station;заправка
guidebook;путівник
headline;заголовок
identification;ідентифікація (ID)
instruction;інструкція
insurance;страхування
license;ліцензія / права
luggage;багаж
member;член (клубу/групи)
menu;меню
passenger;пасажир
passport;паспорт
pharmacy;аптека
platform;платформа
pocket;кишеня
police station;поліцейський відділок
purse;жіночий гаманець
queue;черга
receipt;чек (квитанція)
reception;рецепція
return ticket;квиток туди-назад
route;маршрут
sale;розпродаж
seat;місце (сидіння)
signature;підпис
single ticket;квиток в один бік
suitcase;валіза
tour;тур / екскурсія
traffic light;світлофор
wallet;гаманець
wheel;колесо

